,3/OCT,3/OCT,3/OCT,3/OCT,3/OCT,3/OCT,4/OCT,4/OCT,4/OCT,4/OCT,4/OCT,4/OCT,4/OCT,4/OCT,5/OCT,5/OCT,5/OCT,5/OCT,5/OCT,6/OCT,6/OCT
HR,06,09,12,15,18,21,00,03,06,09,12,15,18,21,00,03,06,09,12,18,00
X/N,,,,,,,56,,,,47,,,,57,,,,37,,58
TMP,49,47,46,51,54,53,50,49,50,50,50,53,55,54,49,44,41,39,40,56,49
DPT,39,38,36,37,37,39,42,45,47,48,47,43,40,36,35,32,31,30,31,31,35
CLD,OV,BK,OV,OV,OV,OV,OV,OV,OV,OV,OV,OV,BK,CL,CL,CL,CL,CL,CL,CL,CL
WDR,03,03,03,04,07,11,11,10,07,05,01,36,34,33,33,34,01,01,36,34,17
WSP,08,06,05,05,04,03,02,03,03,03,06,11,10,12,07,06,04,04,03,03,02
P06,,,0,,0,,6,,78,,81,,34,,0,,0,,0,1,4
P12,,,,,,,6,,,,90,,,,34,,,,1,,4
Q06,,,0,,0,,0,,1,,1,,0,,0,,0,,0,0,0
Q12,,,,,,,0,,,,2,,,,0,,,,0,,0
CIG,6,8,8,7,6,7,6,4,3,3,3,4,6,8,8,8,8,8,8,8,8
VIS,7,7,7,7,7,7,7,5,3,4,5,7,7,7,7,7,7,7,7,7,7
OBV,N,N,N,N,N,N,N,BR,BR,BR,BR,N,N,N,N,N,N,N,N,N,N
